"","ensgene","name","module","mm"
"9620","ENSG00000110717","NDUFS8","grey60",0.810569685357734
"9621","ENSG00000110719","TCIRG1","darkgreen",0.777221744694217
"9622","ENSG00000255031","RP11-802E16.3","red",0.741646460345878
"9623","ENSG00000110721","CHKA","red",0.703739001942087
"9624","ENSG00000110066","SUV420H1","saddlebrown",0.774442911498897
"9625","ENSG00000171067","C11orf24","darkolivegreen",0.576309027010067
"9626","ENSG00000162337","LRP5","darkmagenta",0.575866778292085
"9627","ENSG00000110075","PPP6R3","violet",0.710949753033171
"9628","ENSG00000110090","CPT1A","ivory",0.364168288285222
"9629","ENSG00000197345","MRPL21","grey60",0.816860686545146
"9630","ENSG00000132740","IGHMBP2","pink",0.42813328735554
"9631","ENSG00000261276","RP11-554A11.5","maroon",0.660915538371207
"9632","ENSG00000172935","MRGPRF","maroon",0.66458893051508
"9633","ENSG00000162341","TPCN2","darkorange2",0.774251054310763
"9634","ENSG00000110092","CCND1","white",0.532529418463464
"9635","ENSG00000149716","ORAOV1","darkgreen",0.801457326353405
"9636","ENSG00000255191","RP11-626H12.1","thistle1",0.382016797661612
"9637","ENSG00000131620","ANO1","turquoise",0.687581072261056
"9638","ENSG00000254902","ANO1-AS1","turquoise",0.704373547214185
"9639","ENSG00000168040","FADD","midnightblue",0.795687642303604
"9640","ENSG00000254721","RP11-805J14.5","midnightblue",0.807446484244758
"9641","ENSG00000131626","PPFIA1","green",0.72376808419893
"9642","ENSG00000255539","CTA-797E19.2","violet",0.451668500605555
"9643","ENSG00000246889","AP000487.5","violet",0.680418497226123
"9644","ENSG00000085733","CTTN","darkgreen",0.891457099767067
"9645","ENSG00000162105","SHANK2","darkseagreen4",0.315632166555677
"9646","ENSG00000172893","DHCR7","darkseagreen4",0.695164986324287
"9647","ENSG00000254682","RP11-660L16.2","darkseagreen4",0.320798933325691
"9648","ENSG00000172890","NADSYN1","mediumpurple3",0.788016205681225
"9649","ENSG00000254997","KRTAP5-9","greenyellow",0.602901989175052
"9650","ENSG00000158483","FAM86C1","darkmagenta",0.61572203921247
"9651","ENSG00000254978","ALG1L9P","midnightblue",0.59016669693098
"9652","ENSG00000254469","RP11-849H4.2","darkturquoise",0.714756805653046
"9653","ENSG00000137522","RNF121","darkmagenta",0.774094340526985
"9654","ENSG00000137496","IL18BP","darkgreen",0.630899813423768
"9655","ENSG00000137497","NUMA1","pink",0.814454887546752
"9656","ENSG00000251143","RP11-849H4.4","lightcyan1",0.789078933583113
"9657","ENSG00000184154","LRTOMT","brown",0.659354323986507
"9658","ENSG00000149357","LAMTOR1","darkmagenta",0.847408065929885
"9659","ENSG00000110200","ANAPC15","grey60",0.668252268713282
"9660","ENSG00000165457","FOLR2","thistle2",0.907461762453705
"9661","ENSG00000165458","INPPL1","pink",0.839438958544057
"9662","ENSG00000162129","CLPB","white",0.853315901284786
"9663","ENSG00000255843","AP000593.7","white",0.671319220958535
"9664","ENSG00000186642","PDE2A","skyblue",0.90583735713839
"9665","ENSG00000256633","RP11-169D4.2","skyblue",0.861296125104816
"9666","ENSG00000186635","ARAP1","antiquewhite4",0.740602389354059
"9667","ENSG00000256007","ARAP1-AS1","pink",0.696076875211391
"9668","ENSG00000245148","ARAP1-AS2","plum1",0.596356898218295
"9669","ENSG00000214530","STARD10","magenta",0.716542547051882
"9670","ENSG00000168010","ATG16L2","pink",0.779579867850847
"9671","ENSG00000137478","FCHSD2","cyan",0.660224292559497
"9672","ENSG00000175591","P2RY2","darkmagenta",0.354382003060689
"9673","ENSG00000260401","RP11-800A3.4","plum2",0.459252976606218
"9674","ENSG00000257038","RP11-800A3.7","yellow",0.682992202210176
"9675","ENSG00000110237","ARHGEF17","yellow",0.895287842461565
"9676","ENSG00000054967","RELT","palevioletred3",0.877029561892659
"9677","ENSG00000256928","RP11-809N8.2","palevioletred3",0.859019593186605
"9678","ENSG00000054965","FAM168A","navajowhite2",0.677166314801649
"9679","ENSG00000256448","RP11-809N8.4","mediumpurple3",0.38429124099913
"9680","ENSG00000021300","PLEKHB1","coral1",0.769756268013466
"9681","ENSG00000175582","RAB6A","green",0.794034243627235
"9682","ENSG00000256034","RP11-707G14.1","steelblue",0.801050995235479
"9683","ENSG00000175581","MRPL48","grey60",0.769643666399735
"9684","ENSG00000181924","COA4","darkmagenta",0.807832656533669
"9685","ENSG00000175575","PAAF1","darkorange2",0.662781771576193
"9686","ENSG00000175567","UCP2","thistle2",0.878299713604069
"9687","ENSG00000175564","UCP3","black",0.627277773347235
"9688","ENSG00000168014","C2CD3","darkgreen",0.807240536924095
"9689","ENSG00000214517","PPME1","tan",0.849152394038114
"9690","ENSG00000149380","P4HA3","blue",0.721453456454891
"9691","ENSG00000165434","PGM2L1","blue",0.8152886043935
"9692","ENSG00000175538","KCNE3","blue",0.696874547241027
"9693","ENSG00000254928","RP11-702H23.6","blue",0.627479368655171
"9694","ENSG00000175536","LIPT2","brown",0.720028661689915
"9695","ENSG00000254837","AP001372.2","brown",0.880797964826176
"9696","ENSG00000077514","POLD3","orangered4",0.716450278748966
"9697","ENSG00000054938","CHRDL2","tan",0.790361863648999
"9698","ENSG00000227615","RP11-864N7.2","lightyellow",0.761053406973654
"9699","ENSG00000166439","RNF169","skyblue3",0.373910457475718
"9700","ENSG00000166435","XRRA1","salmon",0.540325618548572
"9701","ENSG00000241170","RP11-147I3.1","greenyellow",0.442067368405426
"9702","ENSG00000118363","SPCS2","salmon",0.914805412505367
"9703","ENSG00000162139","NEU3","lightcyan1",0.614852099189438
"9704","ENSG00000137491","SLCO2B1","turquoise",0.786966626068354
"9705","ENSG00000254429","CTD-2562J17.7","floralwhite",0.321595081873513
"9706","ENSG00000137486","ARRB1","darkorange2",0.434849035234952
"9707","ENSG00000149273","RPS3","lightyellow",0.932794066144705
"9708","ENSG00000158555","GDPD5","blue",0.741459438806368
"9709","ENSG00000149257","SERPINH1","paleturquoise",0.716103848062552
"9710","ENSG00000171533","MAP6","maroon",0.608422735032872
"9711","ENSG00000166391","MOGAT2","turquoise",0.806022849262001
"9712","ENSG00000062282","DGAT2","magenta",0.746465875468278
"9713","ENSG00000254814","RP11-535A19.1","magenta",0.789347575539333
"9714","ENSG00000198382","UVRAG","cyan",0.630289078018851
"9715","ENSG00000085741","WNT11","darkolivegreen",0.316198921448563
"9716","ENSG00000254933","RP11-619A14.2","darkolivegreen",0.282003077415014
"9717","ENSG00000255362","RP11-619A14.3","magenta",0.52741305521076
"9718","ENSG00000137492","PRKRIR","darkgrey",0.722391556938554
"9719","ENSG00000255135","RP11-111M22.3","darkorange2",0.684998623928041
"9720","ENSG00000158636","C11orf30","cyan",0.740294633709145
"9721","ENSG00000236304","AP001189.4","coral2",0.756110458754872
"9722","ENSG00000137507","LRRC32","coral2",0.908297616773544
"9723","ENSG00000254632","RP11-21L23.4","plum2",0.586898147924905
"9724","ENSG00000182704","TSKU","darkorange2",0.54014774438085
"9725","ENSG00000261578","RP11-21L23.2","magenta",0.433707176385925
"9726","ENSG00000078124","ACER3","tan",0.731839178661565
"9727","ENSG00000149260","CAPN5","turquoise",0.847329742421584
"9728","ENSG00000254550","OMP","darkturquoise",0.580437087591397
"9729","ENSG00000137474","MYO7A","pink",0.60443056794024
"9730","ENSG00000178795","GDPD4","magenta",0.752687561998364
"9731","ENSG00000149269","PAK1","cyan",0.593202347003116
"9732","ENSG00000074201","CLNS1A","steelblue",0.769531513450141
"9733","ENSG00000178301","AQP11","turquoise",0.791464983737452
"9734","ENSG00000048649","RSF1","cyan",0.844786716002173
